시장명,시장유형,소재지도로명주소,시장개설주기,소재지지번주소,점포수,사용가능상품권,공중화장실 보유여부,주차장 보유여부,개설년도,데이터기준일자
마장축산물시장,상설,서울특별시 성동구 마장동 31길 40,상설,서울 성동구 마장동 510-3 ,1994,온누리상품권,Y,N,2003,2015-12-31
성동용답상가시장,상설,서울특별시 성동구 용답 19길 15-1,상설,서울 성동구 용답동 49-5,412,온누리상품권,N,N,2013,2015-12-31
길음시장,상설,서울특별시 성북구 길음1동 535-8,상설,서울 성북구 길음동 535-8,90,온누리상품권,Y,N,2013,2015-12-31
석관황금시장,상설,서울특별시 성북구 돌곶이로 22길 54-16,상설,서울 성북구 석관동 279,86,온누리상품권,N,N,2014,2015-12-31
돈암시장,상설,서울특별시 성북구 동소문로 18길 18,상설,서울 성북구 동소문5가 59-21,116,온누리상품권,Y,N,2005,2015-12-31
석관시장,상설,서울특별시 성북구 석관동 270-1,상설,서울 성북구 석관동 270-1,21,온누리상품권,Y,Y,,2015-12-31
동소문스카이상가,상설,서울특별시 성북구 성북로 4길 52,상설,서울 성북구 돈암동 609-1 ,148,,Y,Y,1996,2015-12-31
장위전통시장,상설,서울특별시 성북구 장위동 68-88,상설,서울 성북구 장위동 68-225,119,온누리상품권,N,N,2005,2015-12-31
장위시장,상설,서울특별시 성북구 장위로126 장위쇼핑,상설,서울 성북구 장위동 238-496,30,,Y,Y,,2015-12-31
정릉시장,상설,서울특별시 성북구 정릉동 400-15,상설,서울 성북구 정릉동 400-15,116,온누리상품권,Y,Y,2010,2015-12-31
정릉아리랑시장,상설,서울특별시 성북구 정릉로 26가길,상설,서울 성북구 정릉동 142-4,69,온누리상품권,N,N,2013,2015-12-31
마천시장,상설,서울특별시 송파구 마천동 140-23,상설,서울 송파구 마천동 140-2 ,89,온누리상품권,Y,N,1973,2015-12-31
마천중앙시장,상설,서울특별시 송파구 마천로 51가길 23,상설,서울 송파구 마천동 129-3~153-5 ,132,온누리상품권,Y,Y,2008,2015-12-31
방이시장,상설,서울특별시 송파구 방이동 124-20,상설,서울 송파구 방이동 110-5~149-20 ,133,온누리상품권,Y,Y,2007,2015-12-31
석촌시장,상설,서울특별시 송파구 송파대로 37길 40,상설,서울 송파구 석촌동 254-1~297-42 ,90,온누리상품권,Y,N,2010,2015-12-31
새마을시장,상설,서울특별시 송파구 잠실동 207-4,상설,서울 송파구 잠실동 205-23~213  ,126,온누리상품권,Y,N,2009,2015-12-31
풍납시장,상설,서울특별시 송파구 풍납동 142-1,상설,서울 송파구 풍납동 78-2~484-23 ,181,온누리상품권,Y,Y,2011,2015-12-31
신영시장,상설,서울특별시 양천구 곰달래길 13길 41,상설,서울 양천구 신월1동 113,88,온누리상품권,Y,Y,2006,2015-12-31
목4동시장,상설,서울특별시 양천구 목동 중앙남로 7길 8(목동 726-18),상설,서울 양천구 목4동 738-1,86,온누리상품권,Y,N,1972,2015-12-31
목2동시장,상설,서울특별시 양천구 목동 중앙북로 16길 3(목동),상설,서울 양천구 목2동 526 ,90,,N,N,,2015-12-31
목3동시장,상설,서울특별시 양천구 목동 중앙북로 6길 (목동),상설,서울 양천구 목3동 610-19,79,온누리상품권,Y,N,1970,2015-12-31
신곡종합시장,상설,서울특별시 양천구 신월동 575-17,상설,서울 양천구 신월6동 575-17,11,온누리상품권,Y,Y,,2015-12-31
경창시장,상설,서울특별시 양천구 오목로 9길 31(신월동),상설,서울 양천구 신월2동 447-8,58,온누리상품권,Y,N,2005,2015-12-31
월정로시장,상설,서울특별시 양천구 월정로 29길 3(신월동),상설,서울 양천구 신월1동 114-1,74,,N,N,,2015-12-31
우성상가시장,상설,서울특별시 양천구 자양로 78(신월동),상설,서울 양천구 신월7동 928-1,21,온누리상품권,Y,Y,,2015-12-31
신정제일시장,상설,서울특별시 양천구 중앙로 34길 30,상설,서울 양천구 신정동 1030-6,31,온누리상품권,Y,N,2014,2015-12-31
영등포유통상가,상설,서울특별시 영등포구 당산동 2가 30-2,상설,서울 영등포구 당산동2가 30-2,1461,온누리상품권,Y,Y,2007,2015-12-31
도림시장,상설,서울특별시 영등포구 도림동 176,상설,서울 영등포구 도영로 50,6,온누리상품권,N,Y,,2015-12-31
대신시장,상설,서울특별시 영등포구 도신로 60길 7,상설,서울 영등포구 신길동 116-15,197,온누리상품권,Y,N,2008,2015-12-31
대림중앙시장,상설,서울특별시 영등포구 디지털로 49길 13-1,상설,서울 영등포구 대림동 1075-47,88,온누리상품권,Y,N,2011,2015-12-31
영일시장,상설,서울특별시 영등포구 문래 3가 10번지,상설,서울 영등포구 문래동3가 10,216,온누리상품권,Y,Y,2007,2015-12-31
양남시장,상설,서울특별시 영등포구 선유로 24길 4,상설,서울 영등포구 양평동 1가 28-14,27,온누리상품권,N,N,,2015-12-31
사러가시장,상설,서울특별시 영등포구 신길로 155,상설,서울 영등포구 신길동 254-1,57,온누리상품권,Y,Y,2010,2015-12-31
영등포기계상가,상설,서울특별시 영등포구 영등포고 39,상설,서울 영등포구 양평동1가 247,308,,Y,Y,1989,2015-12-31
삼구시장,상설,서울특별시 영등포구 영등포로 219,상설,서울 영등포구 영등포등5가 19,59,온누리상품권,Y,N,1971,2015-12-31
영신상가,상설,서울특별시 영등포구 영등포로 225,상설,서울 영등포구 영등포동5가 18,118,온누리상품권,Y,N,2007,2015-12-31
동남상가,상설,서울특별시 영등포구 영등포로 37길 4,상설,서울 영등포구 영등포동5가 24,79,,Y,N,2007,2015-12-31
보광시장,상설,서울특별시 용산구 보광로30 (보광동) 지층,상설,서울 용산구 보광동 260-8번지,20,온누리상품권,Y,Y,1975,2015-12-31
이촌종합시장,상설,서울특별시 용산구 이촌로 77길 19,상설,서울 용산구 이촌동 301-154번지,102,온누리상품권,Y,Y,2011,2015-12-31
이태원시장,상설,서울특별시 용산구 이태원로 14길 6,상설,서울 용산구 이태원동 56-9번지,89,,Y,N,,2015-12-31
후암시장,상설,서울특별시 용산구 한강대로 104길 77,상설,서울 용산구 후암동 103번지,54,온누리상품권,Y,Y,2013,2015-12-31
만리시장,상설,서울특별시 용산구 효창원로 260-1,상설,서울 용산구 서계동 260-1번지,68,온누리상품권,Y,N,1969,2015-12-31
용문종합시장,상설,서울특별시 용산구 효창원로 40길 13,상설,서울 용산구 용문동 41-17 ,103,온누리상품권,N,N,2013,2015-12-31
용문시장,상설,서울특별시 용산구 효창원로 42길,상설,서울 용산구 용문동 42번지,72,온누리상품권,Y,N,1948,2015-12-31
연서시장,상설,서울특별시 은평구 불광동 310-263,상설,서울 은평구 불광동 310-131,92,온누리상품권,Y,N,2002,2015-12-31
역촌중앙시장,상설,서울특별시 은평구 연서로 17길 18-6,상설,서울 은평구 갈현동 467-1번지,79,온누리상품권,Y,N,,2015-12-31
녹번시장,상설,서울특별시 은평구 은평로 204-4(응암동),상설,서울 은평구 응암동 74-7번지,97,,Y,Y,,2015-12-31
대림시장,상설+정기,서울특별시 은평구 응암동 300-10 ,5일,서울 은평구 응암동 754-1번지,93,온누리상품권,Y,N,2012,2015-12-31
신응암시장,상설,서울특별시 은평구 응암동 427-130,상설,서울 은평구 응암동 427번지-113~130,49,온누리상품권,N,Y,2011,2015-12-31
대림골목시장,상설,서울특별시 은평구 응암동 602,상설,"서울 은평구 응암동 602-1~31,750-1~695-22",63,온누리상품권,N,N,2012,2015-12-31
